,단지코드,총세대수,임대건물구분,지역,공급유형,전용면적,전용면적별세대수,공가수,자격유형,임대보증금,임대료,지하철역수,버스정류장수,단지내주차면수,등록차량수
24,C1407,1216,아파트,대전광역시,국민임대,51.24,62,13,A,42056000.0,253520.0,1.0,1,1285,1064
25,C1407,1216,아파트,대전광역시,국민임대,51.24,62,13,A,42056000.0,253520.0,1.0,1,1285,1064
26,C1945,755,아파트,경기도,국민임대,39.72,120,6,B,15607000.0,130070.0,1.0,3,734,730
27,C1945,755,아파트,경기도,국민임대,39.72,120,6,B,15607000.0,130070.0,1.0,3,734,730
28,C1945,755,아파트,경기도,국민임대,51.93,207,6,B,23139000.0,193230.0,1.0,3,734,730
29,C1945,755,아파트,경기도,국민임대,51.93,96,6,B,23139000.0,193230.0,1.0,3,734,730
30,C1945,755,아파트,경기도,국민임대,59.88,160,6,B,29209000.0,244020.0,1.0,3,734,730
31,C1945,755,아파트,경기도,국민임대,59.88,52,6,B,29209000.0,244020.0,1.0,3,734,730
32,C1470,696,아파트,전라북도,국민임대,36.55,228,14,A,12015000.0,102130.0,0.0,2,645,553
33,C1470,696,아파트,전라북도,국민임대,36.55,26,14,A,12015000.0,102130.0,0.0,2,645,553
34,C1470,696,아파트,전라북도,국민임대,46.9,196,14,A,21628000.0,132160.0,0.0,2,645,553
35,C1470,696,아파트,전라북도,국민임대,51.93,246,14,A,25233000.0,144180.0,0.0,2,645,553
36,C1898,566,아파트,전라북도,국민임대,36.55,230,9,A,12015000.0,102130.0,0.0,6,517,415
37,C1898,566,아파트,전라북도,국민임대,36.55,28,9,A,12015000.0,102130.0,0.0,6,517,415
38,C1898,566,아파트,전라북도,국민임대,36.62,13,9,A,12015000.0,102130.0,0.0,6,517,415
39,C1898,566,아파트,전라북도,국민임대,46.9,194,9,A,21628000.0,132160.0,0.0,6,517,415
40,C1898,566,아파트,전라북도,국민임대,46.9,15,9,A,21628000.0,132160.0,0.0,6,517,415
41,C1898,566,아파트,전라북도,국민임대,51.93,86,9,A,25233000.0,144180.0,0.0,6,517,415
42,C1244,1722,아파트,경기도,국민임대,39.62,275,10,A,29551000.0,203030.0,0.0,10,1483,1804
43,C1244,1722,아파트,경기도,국민임대,39.62,126,10,A,29551000.0,203030.0,0.0,10,1483,1804
44,C1244,1722,아파트,경기도,국민임대,39.62,168,10,A,29551000.0,203030.0,0.0,10,1483,1804
45,C1244,1722,아파트,경기도,국민임대,39.72,219,10,A,29551000.0,203030.0,0.0,10,1483,1804
46,C1244,1722,아파트,경기도,국민임대,46.73,98,10,A,43990000.0,304540.0,0.0,10,1483,1804
47,C1244,1722,아파트,경기도,국민임대,46.81,144,10,A,43990000.0,304540.0,0.0,10,1483,1804
48,C1244,1722,아파트,경기도,국민임대,46.81,76,10,A,43990000.0,304540.0,0.0,10,1483,1804
49,C1244,1722,아파트,경기도,국민임대,46.81,76,10,A,43990000.0,304540.0,0.0,10,1483,1804
50,C1244,1722,아파트,경기도,국민임대,46.95,75,10,A,43990000.0,304540.0,0.0,10,1483,1804
51,C1244,1722,아파트,경기도,국민임대,46.95,75,10,A,43990000.0,304540.0,0.0,10,1483,1804
52,C1244,1722,아파트,경기도,국민임대,51.78,232,10,A,49854000.0,338380.0,0.0,10,1483,1804
53,C1244,1722,아파트,경기도,국민임대,51.78,83,10,A,49854000.0,338380.0,0.0,10,1483,1804
54,C1244,1722,아파트,경기도,국민임대,51.95,75,10,A,49854000.0,338380.0,0.0,10,1483,1804
55,C1171,624,아파트,대전광역시,국민임대,33.38,190,13,A,17730000.0,118190.0,0.0,5,634,700
56,C1171,624,아파트,대전광역시,국민임대,39.46,106,13,A,23641000.0,141840.0,0.0,5,634,700
57,C1171,624,아파트,대전광역시,국민임대,39.46,43,13,A,23641000.0,141840.0,0.0,5,634,700
58,C1171,624,아파트,대전광역시,국민임대,39.46,15,13,A,23641000.0,141840.0,0.0,5,634,700
59,C1171,624,아파트,대전광역시,국민임대,46.66,38,13,A,35462000.0,189130.0,0.0,5,634,700
60,C1171,624,아파트,대전광역시,국민임대,46.66,15,13,A,35462000.0,189130.0,0.0,5,634,700
61,C1171,624,아파트,대전광역시,국민임대,46.87,46,13,A,35462000.0,189130.0,0.0,5,634,700
62,C1171,624,아파트,대전광역시,국민임대,46.87,23,13,A,35462000.0,189130.0,0.0,5,634,700
63,C1171,624,아파트,대전광역시,국민임대,46.88,78,13,A,35462000.0,189130.0,0.0,5,634,700
64,C1171,624,아파트,대전광역시,국민임대,46.88,30,13,A,35462000.0,189130.0,0.0,5,634,700
65,C1171,624,아파트,대전광역시,국민임대,51.96,20,13,A,41372000.0,236410.0,0.0,5,634,700
66,C1171,624,아파트,대전광역시,국민임대,51.96,20,13,A,41372000.0,236410.0,0.0,5,634,700
67,C2073,361,아파트,강원도,국민임대,39.63,94,13,A,10813000.0,144180.0,0.0,5,288,301
68,C2073,361,아파트,강원도,국민임대,39.63,74,13,A,10813000.0,144180.0,0.0,5,288,301
69,C2073,361,아파트,강원도,국민임대,46.9,97,13,A,16821000.0,205460.0,0.0,5,288,301
70,C2073,361,아파트,강원도,국민임대,46.9,46,13,A,16821000.0,205460.0,0.0,5,288,301
71,C2073,361,아파트,강원도,국민임대,46.96,10,13,A,16821000.0,205460.0,0.0,5,288,301
72,C2073,361,아파트,강원도,국민임대,59.89,40,13,A,25233000.0,283560.0,0.0,5,288,301
73,C2513,754,아파트,광주광역시,국민임대,51.88,517,15,A,32443000.0,192250.0,0.0,6,530,820
74,C2513,754,아파트,광주광역시,국민임대,51.88,179,15,A,32443000.0,192250.0,0.0,6,530,820
75,C2513,754,아파트,광주광역시,국민임대,51.93,58,15,A,32443000.0,192250.0,0.0,6,530,820
76,C1936,240,아파트,광주광역시,국민임대,51.88,120,8,A,32443000.0,192250.0,0.0,10,168,234
77,C1936,240,아파트,광주광역시,국민임대,51.88,60,8,A,32443000.0,192250.0,0.0,10,168,234
78,C1936,240,아파트,광주광역시,국민임대,51.88,20,8,A,32443000.0,192250.0,0.0,10,168,234
79,C1936,240,아파트,광주광역시,국민임대,51.93,40,8,A,32443000.0,192250.0,0.0,10,168,234
80,C2049,688,아파트,강원도,국민임대,51.49,178,0,A,15271000.0,78230.0,0.0,5,631,841
81,C2049,688,아파트,강원도,국민임대,51.95,360,0,A,15407000.0,88400.0,0.0,5,631,841
82,C2049,688,아파트,강원도,국민임대,59.64,150,0,A,17687000.0,100260.0,0.0,5,631,841
83,C2202,623,아파트,강원도,공공임대(50년),37.67,89,0,A,9714000.0,145940.0,0.0,2,222,226
84,C2202,623,아파트,강원도,공공임대(50년),42.9,354,0,A,10244000.0,152280.0,0.0,2,222,226
85,C2202,623,아파트,강원도,공공임대(50년),49.44,180,0,A,11807000.0,171230.0,0.0,2,222,226
86,C1925,601,아파트,강원도,영구임대,26.37,298,9,C,8052000.0,130850.0,0.0,4,117,75
87,C1925,601,아파트,강원도,영구임대,31.32,298,9,C,9174000.0,144460.0,0.0,4,117,75
88,C1925,601,상가,강원도,임대상가,32.1,1,9,D,0.0,0.0,0.0,4,117,75
89,C1925,601,상가,강원도,임대상가,32.1,1,9,D,0.0,0.0,0.0,4,117,75
90,C1925,601,상가,강원도,임대상가,32.1,1,9,D,0.0,0.0,0.0,4,117,75
91,C1925,601,상가,강원도,임대상가,72.16,1,9,D,0.0,0.0,0.0,4,117,75
92,C2576,405,아파트,경상남도,국민임대,46.9,313,19,A,19436000.0,161780.0,0.0,4,296,73
93,C2576,405,아파트,경상남도,국민임대,59.88,92,19,A,28252000.0,235420.0,0.0,4,296,73
94,C1312,518,아파트,충청남도,국민임대,39.72,60,12,A,17460000.0,122210.0,0.0,3,527,359
95,C1312,518,아파트,충청남도,국민임대,39.98,89,12,A,17460000.0,122210.0,0.0,3,527,359
96,C1312,518,아파트,충청남도,국민임대,41.55,225,12,A,19954000.0,130940.0,0.0,3,527,359
97,C1312,518,아파트,충청남도,국민임대,46.9,143,12,A,28687000.0,149660.0,0.0,3,527,359
98,C1874,619,아파트,충청남도,영구임대,26.37,294,2,C,3141000.0,69900.0,0.0,2,97,62
99,C1874,619,아파트,충청남도,영구임대,26.37,149,2,C,3141000.0,69900.0,0.0,2,97,62
100,C1874,619,아파트,충청남도,영구임대,31.32,149,2,C,3731000.0,83020.0,0.0,2,97,62
101,C1874,619,상가,충청남도,임대상가,12.62,1,2,D,0.0,0.0,0.0,2,97,62
102,C1874,619,상가,충청남도,임대상가,17.4,1,2,D,0.0,0.0,0.0,2,97,62
103,C1874,619,상가,충청남도,임대상가,17.4,1,2,D,0.0,0.0,0.0,2,97,62
104,C1874,619,상가,충청남도,임대상가,22.89,1,2,D,0.0,0.0,0.0,2,97,62
105,C1874,619,상가,충청남도,임대상가,23.13,1,2,D,0.0,0.0,0.0,2,97,62
106,C1874,619,상가,충청남도,임대상가,23.13,1,2,D,0.0,0.0,0.0,2,97,62
107,C1874,619,상가,충청남도,임대상가,23.25,1,2,D,0.0,0.0,0.0,2,97,62
108,C1874,619,상가,충청남도,임대상가,27.75,1,2,D,0.0,0.0,0.0,2,97,62
109,C1874,619,상가,충청남도,임대상가,27.75,1,2,D,0.0,0.0,0.0,2,97,62
110,C1874,619,상가,충청남도,임대상가,27.75,1,2,D,0.0,0.0,0.0,2,97,62
111,C1874,619,상가,충청남도,임대상가,27.75,1,2,D,0.0,0.0,0.0,2,97,62
112,C1874,619,상가,충청남도,임대상가,27.75,1,2,D,0.0,0.0,0.0,2,97,62
113,C1874,619,상가,충청남도,임대상가,27.75,1,2,D,0.0,0.0,0.0,2,97,62
114,C1874,619,상가,충청남도,임대상가,27.75,1,2,D,0.0,0.0,0.0,2,97,62
115,C1874,619,상가,충청남도,임대상가,27.75,1,2,D,0.0,0.0,0.0,2,97,62
116,C1874,619,상가,충청남도,임대상가,27.75,1,2,D,0.0,0.0,0.0,2,97,62
117,C1874,619,상가,충청남도,임대상가,27.75,1,2,D,0.0,0.0,0.0,2,97,62
118,C1874,619,상가,충청남도,임대상가,27.75,1,2,D,0.0,0.0,0.0,2,97,62
119,C1874,619,상가,충청남도,임대상가,28.19,1,2,D,0.0,0.0,0.0,2,97,62
120,C1874,619,상가,충청남도,임대상가,34.8,1,2,D,0.0,0.0,0.0,2,97,62
121,C1874,619,상가,충청남도,임대상가,34.8,1,2,D,0.0,0.0,0.0,2,97,62
122,C1874,619,상가,충청남도,임대상가,42.35,1,2,D,0.0,0.0,0.0,2,97,62
123,C1874,619,상가,충청남도,임대상가,42.4,1,2,D,0.0,0.0,0.0,2,97,62
124,C1874,619,상가,충청남도,임대상가,49.37,1,2,D,0.0,0.0,0.0,2,97,62
125,C1874,619,상가,충청남도,임대상가,55.17,1,2,D,0.0,0.0,0.0,2,97,62
126,C1874,619,상가,충청남도,임대상가,55.17,1,2,D,0.0,0.0,0.0,2,97,62
127,C1874,619,상가,충청남도,임대상가,55.5,1,2,D,0.0,0.0,0.0,2,97,62
128,C2650,875,아파트,부산광역시,국민임대,36.44,557,13,A,11492000.0,104930.0,0.0,4,616,159
129,C2650,875,아파트,부산광역시,국민임대,45.09,20,13,A,14215000.0,141630.0,0.0,4,616,159
130,C2650,875,아파트,부산광역시,국민임대,45.32,298,13,A,14292000.0,141630.0,0.0,4,616,159
131,C2416,560,아파트,경상남도,영구임대,26.34,360,0,C,3138000.0,69820.0,0.0,5,154,63
132,C2416,560,아파트,경상남도,영구임대,30.48,192,0,C,3631000.0,80800.0,0.0,5,154,63
133,C2416,560,상가,경상남도,임대상가,19.69,1,0,D,0.0,0.0,0.0,5,154,63
134,C2416,560,상가,경상남도,임대상가,27.12,1,0,D,0.0,0.0,0.0,5,154,63
135,C2416,560,상가,경상남도,임대상가,32.54,1,0,D,0.0,0.0,0.0,5,154,63
136,C2416,560,상가,경상남도,임대상가,36.43,1,0,D,0.0,0.0,0.0,5,154,63
137,C2416,560,상가,경상남도,임대상가,46.89,1,0,D,0.0,0.0,0.0,5,154,63
138,C2416,560,상가,경상남도,임대상가,49.99,1,0,D,0.0,0.0,0.0,5,154,63
139,C2416,560,상가,경상남도,임대상가,51.14,1,0,D,0.0,0.0,0.0,5,154,63
140,C2416,560,상가,경상남도,임대상가,317.17,1,0,D,0.0,0.0,0.0,5,154,63
141,C2013,595,아파트,경상남도,국민임대,36.02,90,3,A,13930000.0,37360.0,0.0,3,509,91
142,C2013,595,아파트,경상남도,국민임대,36.38,237,3,A,13930000.0,37360.0,0.0,3,509,91
143,C2013,595,아파트,경상남도,국민임대,45.88,267,3,A,17568000.0,45180.0,0.0,3,509,91
144,C1424,625,아파트,대전광역시,공공임대(50년),39.99,268,2,A,14247000.0,198980.0,0.0,7,517,179
145,C1424,625,아파트,대전광역시,공공임대(50년),49.95,119,2,A,20173000.0,225100.0,0.0,7,517,179
146,C1424,625,아파트,대전광역시,공공임대(50년),49.95,237,2,A,21203000.0,225100.0,0.0,7,517,179
147,C2100,880,아파트,대전광역시,국민임대,51.51,46,4,A,22307000.0,89210.0,0.0,5,736,671
148,C2100,880,아파트,대전광역시,국민임대,51.59,35,4,A,22307000.0,89210.0,0.0,5,736,671
149,C2100,880,아파트,대전광역시,국민임대,51.9,589,4,A,22307000.0,89210.0,0.0,5,736,671
150,C2100,880,아파트,대전광역시,국민임대,59.91,118,4,A,27885000.0,111520.0,0.0,5,736,671
151,C2100,880,아파트,대전광역시,국민임대,59.94,46,4,A,27885000.0,111520.0,0.0,5,736,671
152,C2100,880,아파트,대전광역시,국민임대,59.99,46,4,A,27885000.0,111520.0,0.0,5,736,671
153,C2621,1396,아파트,대전광역시,영구임대,26.37,890,26,C,5787000.0,79980.0,1.0,4,277,133
154,C2621,1396,아파트,대전광역시,영구임대,26.37,141,26,C,5787000.0,79980.0,1.0,4,277,133
155,C2621,1396,아파트,대전광역시,영구임대,26.37,20,26,C,5787000.0,79980.0,1.0,4,277,133
156,C2621,1396,아파트,대전광역시,영구임대,26.37,20,26,C,5787000.0,79980.0,1.0,4,277,133
157,C2621,1396,아파트,대전광역시,영구임대,31.32,298,26,C,6873000.0,94990.0,1.0,4,277,133
158,C2621,1396,아파트,대전광역시,영구임대,52.74,9,26,C,11574000.0,159960.0,1.0,4,277,133
159,C2621,1396,아파트,대전광역시,영구임대,52.74,4,26,C,11574000.0,159960.0,1.0,4,277,133
160,C2621,1396,아파트,대전광역시,영구임대,52.74,4,26,C,11574000.0,159960.0,1.0,4,277,133
161,C2621,1396,상가,대전광역시,임대상가,31.84,1,26,D,0.0,0.0,1.0,4,277,133
162,C2621,1396,상가,대전광역시,임대상가,31.84,1,26,D,0.0,0.0,1.0,4,277,133
163,C2621,1396,상가,대전광역시,임대상가,31.84,1,26,D,0.0,0.0,1.0,4,277,133
164,C2621,1396,상가,대전광역시,임대상가,31.84,1,26,D,0.0,0.0,1.0,4,277,133
165,C2621,1396,상가,대전광역시,임대상가,31.84,1,26,D,0.0,0.0,1.0,4,277,133
166,C2621,1396,상가,대전광역시,임대상가,31.84,1,26,D,0.0,0.0,1.0,4,277,133
167,C2621,1396,상가,대전광역시,임대상가,31.84,1,26,D,0.0,0.0,1.0,4,277,133
168,C2621,1396,상가,대전광역시,임대상가,31.84,1,26,D,0.0,0.0,1.0,4,277,133
169,C2621,1396,상가,대전광역시,임대상가,63.68,1,26,D,0.0,0.0,1.0,4,277,133
170,C2621,1396,상가,대전광역시,임대상가,137.49,1,26,D,0.0,0.0,1.0,4,277,133
171,C2520,970,아파트,대전광역시,공공임대(50년),39.69,960,2,A,13155000.0,177500.0,0.0,2,420,386
172,C2319,606,아파트,대전광역시,국민임대,51.86,98,1,A,17389000.0,236220.0,1.0,12,548,266
173,C2319,606,아파트,대전광역시,국민임대,51.91,83,1,A,17405000.0,236470.0,1.0,12,548,266
174,C2319,606,아파트,대전광역시,국민임대,51.96,157,1,A,17423000.0,236710.0,1.0,12,548,266
175,C2319,606,아파트,대전광역시,국민임대,59.57,267,1,A,19975000.0,273790.0,1.0,12,548,266
176,C1616,1507,아파트,대전광역시,영구임대,26.37,588,1,C,5787000.0,79980.0,0.0,2,407,98
177,C1616,1507,아파트,대전광역시,영구임대,31.32,450,1,C,6873000.0,94990.0,0.0,2,407,98
178,C1616,1507,아파트,대전광역시,영구임대,40.32,450,1,E,54040000.0,28140.0,0.0,2,407,98
179,C1616,1507,상가,대전광역시,임대상가,38.0,1,1,D,0.0,0.0,0.0,2,407,98
180,C1616,1507,상가,대전광역시,임대상가,38.0,1,1,D,0.0,0.0,0.0,2,407,98
181,C1616,1507,상가,대전광역시,임대상가,37.26,1,1,D,0.0,0.0,0.0,2,407,98
182,C1616,1507,상가,대전광역시,임대상가,37.41,1,1,D,0.0,0.0,0.0,2,407,98
183,C1616,1507,상가,대전광역시,임대상가,37.41,1,1,D,0.0,0.0,0.0,2,407,98
184,C1616,1507,상가,대전광역시,임대상가,37.41,1,1,D,0.0,0.0,0.0,2,407,98
185,C1616,1507,상가,대전광역시,임대상가,37.49,1,1,D,0.0,0.0,0.0,2,407,98
186,C1616,1507,상가,대전광역시,임대상가,37.95,1,1,D,0.0,0.0,0.0,2,407,98
187,C1616,1507,상가,대전광역시,임대상가,37.95,1,1,D,0.0,0.0,0.0,2,407,98
188,C1616,1507,상가,대전광역시,임대상가,38.04,1,1,D,0.0,0.0,0.0,2,407,98
189,C1616,1507,상가,대전광역시,임대상가,39.33,1,1,D,0.0,0.0,0.0,2,407,98
190,C1616,1507,상가,대전광역시,임대상가,39.33,1,1,D,0.0,0.0,0.0,2,407,98
191,C1616,1507,상가,대전광역시,임대상가,39.33,1,1,D,0.0,0.0,0.0,2,407,98
192,C1616,1507,상가,대전광역시,임대상가,54.51,1,1,D,0.0,0.0,0.0,2,407,98
193,C1616,1507,상가,대전광역시,임대상가,54.61,1,1,D,0.0,0.0,0.0,2,407,98
194,C1616,1507,상가,대전광역시,임대상가,54.91,1,1,D,0.0,0.0,0.0,2,407,98
195,C1616,1507,상가,대전광역시,임대상가,75.98,1,1,D,0.0,0.0,0.0,2,407,98
196,C1616,1507,상가,대전광역시,임대상가,109.11,1,1,D,0.0,0.0,0.0,2,407,98
197,C1616,1507,상가,대전광역시,임대상가,583.4,1,1,D,0.0,0.0,0.0,2,407,98
198,C1704,639,아파트,대전광역시,영구임대,39.3,204,34,C,8625000.0,119190.0,0.0,7,162,131
199,C1704,639,아파트,대전광역시,영구임대,39.69,420,34,C,8710000.0,120370.0,0.0,7,162,131
200,C1704,639,상가,대전광역시,임대상가,31.84,1,34,D,0.0,0.0,0.0,7,162,131
201,C1704,639,상가,대전광역시,임대상가,31.84,1,34,D,0.0,0.0,0.0,7,162,131
202,C1704,639,상가,대전광역시,임대상가,31.84,1,34,D,0.0,0.0,0.0,7,162,131
203,C1704,639,상가,대전광역시,임대상가,31.84,1,34,D,0.0,0.0,0.0,7,162,131
204,C1704,639,상가,대전광역시,임대상가,31.84,1,34,D,0.0,0.0,0.0,7,162,131
205,C1704,639,상가,대전광역시,임대상가,31.84,1,34,D,0.0,0.0,0.0,7,162,131
206,C1704,639,상가,대전광역시,임대상가,31.84,1,34,D,0.0,0.0,0.0,7,162,131
207,C1704,639,상가,대전광역시,임대상가,31.84,1,34,D,0.0,0.0,0.0,7,162,131
208,C1704,639,상가,대전광역시,임대상가,31.84,1,34,D,0.0,0.0,0.0,7,162,131
209,C1704,639,상가,대전광역시,임대상가,31.84,1,34,D,0.0,0.0,0.0,7,162,131
210,C1704,639,상가,대전광역시,임대상가,31.84,1,34,D,0.0,0.0,0.0,7,162,131
211,C1704,639,상가,대전광역시,임대상가,31.84,1,34,D,0.0,0.0,0.0,7,162,131
212,C1704,639,상가,대전광역시,임대상가,31.84,1,34,D,0.0,0.0,0.0,7,162,131
213,C1704,639,상가,대전광역시,임대상가,31.84,1,34,D,0.0,0.0,0.0,7,162,131
214,C1704,639,상가,대전광역시,임대상가,126.65,1,34,D,0.0,0.0,0.0,7,162,131
215,C2258,965,아파트,대전광역시,영구임대,26.37,588,13,C,5787000.0,79980.0,0.0,3,287,78
216,C2258,965,아파트,대전광역시,영구임대,31.32,180,13,C,6873000.0,94990.0,0.0,3,287,78
217,C2258,965,아파트,대전광역시,영구임대,40.32,180,13,C,8848000.0,122290.0,0.0,3,287,78
218,C2258,965,상가,대전광역시,임대상가,19.0,1,13,D,0.0,0.0,0.0,3,287,78
219,C2258,965,상가,대전광역시,임대상가,14.1,1,13,D,0.0,0.0,0.0,3,287,78
220,C2258,965,상가,대전광역시,임대상가,19.31,1,13,D,0.0,0.0,0.0,3,287,78
221,C2258,965,상가,대전광역시,임대상가,21.19,1,13,D,0.0,0.0,0.0,3,287,78
222,C2258,965,상가,대전광역시,임대상가,21.19,1,13,D,0.0,0.0,0.0,3,287,78
223,C2258,965,상가,대전광역시,임대상가,22.95,1,13,D,0.0,0.0,0.0,3,287,78
224,C2258,965,상가,대전광역시,임대상가,23.4,1,13,D,0.0,0.0,0.0,3,287,78
225,C2258,965,상가,대전광역시,임대상가,23.4,1,13,D,0.0,0.0,0.0,3,287,78
226,C2258,965,상가,대전광역시,임대상가,23.4,1,13,D,0.0,0.0,0.0,3,287,78
227,C2258,965,상가,대전광역시,임대상가,23.4,1,13,D,0.0,0.0,0.0,3,287,78
228,C2258,965,상가,대전광역시,임대상가,27.23,1,13,D,0.0,0.0,0.0,3,287,78
229,C2258,965,상가,대전광역시,임대상가,31.85,1,13,D,0.0,0.0,0.0,3,287,78
230,C2258,965,상가,대전광역시,임대상가,32.29,1,13,D,0.0,0.0,0.0,3,287,78
231,C2258,965,상가,대전광역시,임대상가,35.13,1,13,D,0.0,0.0,0.0,3,287,78
232,C2258,965,상가,대전광역시,임대상가,36.47,1,13,D,0.0,0.0,0.0,3,287,78
233,C2258,965,상가,대전광역시,임대상가,50.08,1,13,D,0.0,0.0,0.0,3,287,78
234,C2258,965,상가,대전광역시,임대상가,240.22,1,13,D,0.0,0.0,0.0,3,287,78
235,C1032,946,아파트,대전광역시,국민임대,39.65,68,6,A,16852000.0,118580.0,1.0,2,986,316
236,C1032,946,아파트,대전광역시,국민임대,46.47,69,6,A,22471000.0,149810.0,1.0,2,986,316
237,C1032,946,아파트,대전광역시,국민임대,51.84,63,6,A,28714000.0,187260.0,1.0,2,986,316
238,C1032,946,아파트,대전광역시,국민임대,51.92,251,6,A,28714000.0,187260.0,1.0,2,986,316
239,C1032,946,아파트,대전광역시,국민임대,59.99,171,6,A,34956000.0,230950.0,1.0,2,986,316
240,C1032,946,아파트,대전광역시,국민임대,59.99,324,6,A,34956000.0,230950.0,1.0,2,986,316
241,C2038,785,아파트,대전광역시,영구임대,26.37,588,7,C,5787000.0,79980.0,1.0,10,150,108
242,C2038,785,아파트,대전광역시,영구임대,31.32,90,7,C,6873000.0,94990.0,1.0,10,150,108
243,C2038,785,아파트,대전광역시,영구임대,40.32,90,7,C,8848000.0,122290.0,1.0,10,150,108
244,C2038,785,상가,대전광역시,임대상가,19.0,1,7,D,0.0,0.0,1.0,10,150,108
245,C2038,785,상가,대전광역시,임대상가,14.1,1,7,D,0.0,0.0,1.0,10,150,108
246,C2038,785,상가,대전광역시,임대상가,19.31,1,7,D,0.0,0.0,1.0,10,150,108
247,C2038,785,상가,대전광역시,임대상가,21.19,1,7,D,0.0,0.0,1.0,10,150,108
248,C2038,785,상가,대전광역시,임대상가,21.19,1,7,D,0.0,0.0,1.0,10,150,108
249,C2038,785,상가,대전광역시,임대상가,22.95,1,7,D,0.0,0.0,1.0,10,150,108
250,C2038,785,상가,대전광역시,임대상가,23.4,1,7,D,0.0,0.0,1.0,10,150,108
251,C2038,785,상가,대전광역시,임대상가,23.4,1,7,D,0.0,0.0,1.0,10,150,108
252,C2038,785,상가,대전광역시,임대상가,23.4,1,7,D,0.0,0.0,1.0,10,150,108
253,C2038,785,상가,대전광역시,임대상가,23.4,1,7,D,0.0,0.0,1.0,10,150,108
254,C2038,785,상가,대전광역시,임대상가,27.23,1,7,D,0.0,0.0,1.0,10,150,108
255,C2038,785,상가,대전광역시,임대상가,31.85,1,7,D,0.0,0.0,1.0,10,150,108
256,C2038,785,상가,대전광역시,임대상가,32.29,1,7,D,0.0,0.0,1.0,10,150,108
257,C2038,785,상가,대전광역시,임대상가,35.13,1,7,D,0.0,0.0,1.0,10,150,108
258,C2038,785,상가,대전광역시,임대상가,36.47,1,7,D,0.0,0.0,1.0,10,150,108
259,C2038,785,상가,대전광역시,임대상가,50.08,1,7,D,0.0,0.0,1.0,10,150,108
260,C2038,785,상가,대전광역시,임대상가,240.22,1,7,D,0.0,0.0,1.0,10,150,108
261,C1859,2424,아파트,대전광역시,영구임대,26.37,1865,1,C,5787000.0,79980.0,1.0,4,487,116
262,C1859,2424,아파트,대전광역시,영구임대,26.37,10,1,C,5787000.0,79980.0,1.0,4,487,116
263,C1859,2424,아파트,대전광역시,영구임대,26.37,10,1,C,5787000.0,79980.0,1.0,4,487,116
