단지코드,등록차량수,총세대수,지역,공가수,지하철,버스,단지내주차면수,총임대가구수,단지임대보증금,단지임대료,면적_15,면적_20,면적_30,면적_40,면적_50,면적_60,면적_70,면적_80,면적_100,자격_A,자격_B,자격_C,자격_D,자격_E,자격_F,자격_G,자격_H,자격_I,자격_J,자격_K,자격_L,자격_M,자격_N,자격_O,공급_공공분양,공급_공공임대(10년),공급_공공임대(50년),공급_공공임대(5년),공급_공공임대(분납),공급_국민임대,공급_영구임대,공급_임대상가,공급_장기전세,공급_행복주택
C2100,671.0,880.0,6,4.0,0.0,5.0,736.0,880.0,23638113.636363637,94533.97727272728,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
C2621,133.0,1396.0,6,26.0,1.0,4.0,277.0,1396.0,6047843.123209169,83585.18624641834,0.0,0.7671919770773639,0.2191977077363897,0.0,0.012177650429799427,0.0007163323782234957,0.0,0.0,0.0007163323782234957,0.0,0.0,0.9928366762177651,0.0071633237822349575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9928366762177651,0.0071633237822349575,0.0,0.0
C2520,386.0,970.0,6,2.0,0.0,2.0,420.0,960.0,13019381.44329897,175670.1030927835,0.0,0.0,0.9896907216494846,0.0,0.0,0.0,0.0,0.0,0.0,0.9896907216494846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9896907216494846,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C2319,266.0,606.0,6,1.0,1.0,12.0,548.0,605.0,18510681.518151816,252544.50495049506,0.0,0.0,0.0,0.0,0.9983498349834984,0.0,0.0,0.0,0.0,0.9983498349834984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9983498349834984,0.0,0.0,0.0,0.0
C1616,98.0,1507.0,6,1.0,0.0,2.0,407.0,1507.0,20446984.73788985,67973.94824153949,0.0,0.39017916390179164,0.30723291307232914,0.298606502986065,0.0019907100199071004,0.0,0.0006635700066357001,0.0,0.0013271400132714001,0.0,0.0,0.6887856668878567,0.012607830126078301,0.298606502986065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9873921698739216,0.012607830126078301,0.0,0.0
C1704,131.0,639.0,6,34.0,0.0,7.0,162.0,639.0,8478403.755868545,117167.69953051643,0.0,0.0,0.9984350547730829,0.0,0.0,0.0,0.0,0.0,0.001564945226917058,0.0,0.0,0.9765258215962441,0.023474178403755867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9765258215962441,0.023474178403755867,0.0,0.0
C2258,78.0,965.0,6,13.0,0.0,3.0,287.0,965.0,6458586.528497409,89262.83937823834,0.0031088082901554403,0.6176165803108808,0.19067357512953367,0.18652849740932642,0.0010362694300518134,0.0,0.0,0.0,0.0010362694300518134,0.0,0.0,0.9823834196891191,0.017616580310880828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9823834196891191,0.017616580310880828,0.0,0.0
C1032,316.0,946.0,6,6.0,1.0,2.0,986.0,946.0,30672146.93446089,202452.66384778012,0.0,0.0,0.07188160676532769,0.07293868921775898,0.8551797040169133,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
C2038,108.0,785.0,6,7.0,1.0,10.0,150.0,785.0,6137128.662420382,84819.66878980891,0.003821656050955414,0.759235668789809,0.1197452229299363,0.11464968152866242,0.0012738853503184713,0.0,0.0,0.0,0.0012738853503184713,0.0,0.0,0.978343949044586,0.02165605095541401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.978343949044586,0.02165605095541401,0.0,0.0
C1859,116.0,2424.0,6,1.0,1.0,4.0,487.0,2424.0,5979667.0792079205,82642.93729372937,0.0,0.7776402640264026,0.20833333333333334,0.0,0.01278877887788779,0.0,0.00041254125412541255,0.0,0.0008250825082508251,0.0,0.0,0.9855610561056105,0.014438943894389438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9855610561056105,0.014438943894389438,0.0,0.0
C1722,649.0,809.0,0,1.0,0.0,6.0,264.0,809.0,10891021.013597034,182938.45488257107,0.0,0.1841779975278121,0.3003708281829419,0.5142150803461063,0.0,0.0,0.0012360939431396785,0.0,0.0,0.6242274412855378,0.0,0.3683559950556242,0.007416563658838072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6242274412855378,0.0,0.0,0.0,0.3683559950556242,0.007416563658838072,0.0,0.0
C1850,254.0,388.0,2,0.0,0.0,4.0,226.0,385.0,13664711.340206185,235217.47422680413,0.0,0.0,0.22938144329896906,0.7628865979381443,0.0,0.0,0.0,0.0,0.0,0.9922680412371134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9922680412371134,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C2190,129.0,1013.0,2,7.0,0.0,2.0,178.0,1013.0,3175070.088845015,70656.74234945705,0.0029615004935834156,0.8460019743336624,0.14906219151036526,0.0019743336623889436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.983218163869694,0.01678183613030602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.983218163869694,0.01678183613030602,0.0,0.0
C1476,70.0,453.0,2,6.0,0.0,5.0,107.0,453.0,8396298.013245033,125778.36644591611,0.0,0.6578366445916115,0.33995584988962474,0.0,0.0,0.0,0.002207505518763797,0.0,0.0,0.0,0.0,0.9867549668874173,0.013245033112582781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9867549668874173,0.013245033112582781,0.0,0.0
C1077,236.0,861.0,2,21.0,0.0,5.0,612.0,861.0,19147334.49477352,142779.21022067365,0.0,0.0,0.29965156794425085,0.32171893147502906,0.3786295005807201,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
C1068,510.0,806.0,14,11.0,0.0,2.0,804.0,805.0,15098606.699751861,126026.17866004963,0.0,0.0,0.4094292803970223,0.47642679900744417,0.11290322580645161,0.0,0.0,0.0,0.0,0.9987593052109182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9987593052109182,0.0,0.0,0.0,0.0
C1983,253.0,903.0,14,3.0,0.0,4.0,200.0,903.0,8872739.756367663,132403.7984496124,0.0,0.5293466223698782,0.4684385382059801,0.0,0.0,0.0011074197120708748,0.0,0.0,0.0011074197120708748,0.34994462901439644,0.0,0.6389811738648948,0.01107419712070875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34994462901439644,0.0,0.0,0.0,0.6389811738648948,0.01107419712070875,0.0,0.0
C2135,127.0,1116.0,7,10.0,1.0,3.0,262.0,1116.0,9752688.17204301,127810.3046594982,0.002688172043010753,0.5922939068100358,0.4032258064516129,0.0,0.0008960573476702509,0.0,0.0,0.0,0.0008960573476702509,0.0,0.0,0.9847670250896058,0.015232974910394265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9847670250896058,0.015232974910394265,0.0,0.0
C2034,132.0,1486.0,7,2.0,1.0,3.0,405.0,1486.0,9865467.698519515,128866.4535666218,0.002018842530282638,0.48721399730820997,0.5087483176312247,0.0,0.0006729475100942127,0.0,0.0006729475100942127,0.0,0.0006729475100942127,0.0,0.0,0.9825033647375505,0.017496635262449527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9825033647375505,0.017496635262449527,0.0,0.0
C1109,313.0,1957.0,7,1.0,1.0,2.0,351.0,1957.0,5975912.6213592235,82591.07307102709,0.0,0.7675012774655084,0.23147675012774654,0.0,0.000510986203372509,0.0,0.0,0.0,0.000510986203372509,0.0,0.0,0.9897802759325498,0.010219724067450179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9897802759325498,0.010219724067450179,0.0,0.0
C1497,382.0,802.0,7,7.0,1.0,14.0,375.0,802.0,13220527.431421446,168220.03740648378,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C2289,364.0,1527.0,7,2.0,0.0,3.0,240.0,1527.0,6093117.878192535,84211.02161100197,0.0,0.6352324819908317,0.3601833660772757,0.0,0.0032743942370661427,0.0,0.0006548788474132286,0.0,0.0006548788474132286,0.0,0.0,0.9869024230517355,0.01309757694826457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9869024230517355,0.01309757694826457,0.0,0.0
C2597,94.0,1005.0,7,25.0,0.0,2.0,166.0,1005.0,5878274.626865672,81241.6616915423,0.0029850746268656717,0.7532338308457711,0.23781094527363184,0.001990049751243781,0.0029850746268656717,0.0,0.0,0.0,0.0009950248756218905,0.0,0.0,0.9711442786069652,0.028855721393034824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9711442786069652,0.028855721393034824,0.0,0.0
C2310,189.0,1988.0,7,1.0,0.0,2.0,217.0,1988.0,5891571.428571428,81425.36217303823,0.0,0.8400402414486922,0.15643863179074446,0.0,0.0025150905432595573,0.0,0.0005030181086519115,0.0,0.0005030181086519115,0.0,0.0,0.9899396378269618,0.01006036217303823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9899396378269618,0.01006036217303823,0.0,0.0
C1672,873.0,1350.0,7,15.0,0.0,1.0,1043.0,1350.0,18310973.333333332,224665.65925925926,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
C2132,359.0,2428.0,7,1.0,0.0,1.0,756.0,2428.0,4314358.731466227,71898.70263591433,0.002059308072487644,0.642504118616145,0.3517298187808896,0.00041186161449752884,0.002059308072487644,0.0,0.00041186161449752884,0.0,0.0008237232289950577,0.0,0.0,0.09843492586490939,0.01771004942339374,0.0,0.8838550247116969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9822899505766063,0.01771004942339374,0.0,0.0
C1439,172.0,1755.0,7,29.0,1.0,3.0,270.0,1755.0,5922170.94017094,81848.54700854702,0.005698005698005698,0.8484330484330485,0.07464387464387465,0.06951566951566951,0.0,0.0005698005698005698,0.0,0.0,0.0011396011396011395,0.0,0.0,0.9743589743589743,0.02564102564102564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9743589743589743,0.02564102564102564,0.0,0.0
C1613,498.0,840.0,7,7.0,1.0,1.0,594.0,840.0,20892166.666666668,265028.7619047619,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
C2216,149.0,390.0,14,2.0,0.0,1.0,97.0,390.0,9443461.538461538,132876.92307692306,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1899,31.0,451.0,2,0.0,0.0,4.0,109.0,451.0,8000738.359201774,120032.54988913526,0.0,0.6607538802660754,0.3392461197339246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.991130820399113,0.008869179600886918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.991130820399113,0.008869179600886918,0.0,0.0
C1056,125.0,410.0,13,0.0,0.0,10.0,120.0,410.0,3301951.2195121953,73473.17073170732,0.0,0.4878048780487805,0.5121951219512195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.975609756097561,0.024390243902439025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.975609756097561,0.024390243902439025,0.0,0.0
C2644,177.0,779.0,14,7.0,0.0,12.0,190.0,778.0,10226655.96919127,143696.67522464698,0.0,0.4980744544287548,0.496790757381258,0.0038510911424903724,0.0,0.0,0.0,0.0,0.0,0.496790757381258,0.0,0.4980744544287548,0.0038510911424903724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496790757381258,0.0,0.0,0.0,0.4980744544287548,0.0038510911424903724,0.0,0.0
C1206,90.0,755.0,0,1.0,0.0,4.0,88.0,488.0,2175374.8344370862,48407.7880794702,0.0,0.3165562913907285,0.3271523178807947,0.0,0.0,0.0013245033112582781,0.0,0.0,0.0013245033112582781,0.0,0.0,0.633112582781457,0.013245033112582781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.633112582781457,0.013245033112582781,0.0,0.0
C2481,302.0,693.0,10,2.0,0.0,2.0,486.0,693.0,11898549.783549784,84118.35497835498,0.0,0.0,0.6277056277056277,0.3722943722943723,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
C1718,496.0,753.0,10,23.0,0.0,2.0,682.0,753.0,26208961.487383798,202763.86454183268,0.0,0.0,0.0,0.751660026560425,0.24833997343957503,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
C1655,236.0,498.0,0,23.0,0.0,6.0,402.0,498.0,19938417.670682732,137988.3534136546,0.0,0.0,0.17670682730923695,0.5381526104417671,0.285140562248996,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
C1430,839.0,1533.0,7,32.0,0.0,3.0,1296.0,1533.0,33244649.706457924,195515.68166992825,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
C1775,96.0,711.0,13,5.0,0.0,8.0,131.0,711.0,4242160.337552743,78750.04219409282,0.0,0.5063291139240507,0.49226441631504925,0.0,0.0,0.0,0.0,0.0,0.0014064697609001407,0.0,0.0,0.9789029535864979,0.02109704641350211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9789029535864979,0.02109704641350211,0.0,0.0
C1519,235.0,420.0,13,0.0,0.0,0.0,393.0,420.0,15199600.0,91552.0,0.0,0.0,0.6,0.4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
C2221,359.0,590.0,13,1.0,0.0,3.0,376.0,590.0,15403888.13559322,246646.61016949153,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1790,120.0,657.0,2,2.0,0.0,4.0,166.0,657.0,3346007.610350076,74456.40791476407,0.0060882800608828,0.3972602739726027,0.5905631659056316,0.0015220700152207,0.0015220700152207,0.0,0.0,0.0015220700152207,0.0015220700152207,0.0,0.0,0.954337899543379,0.045662100456621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.954337899543379,0.045662100456621,0.0,0.0
C2109,60.0,495.0,2,2.0,0.0,4.0,117.0,495.0,3234133.3333333335,71963.15151515152,0.0,0.5818181818181818,0.4161616161616162,0.0,0.0,0.0,0.0,0.0,0.00202020202020202,0.0,0.0,0.9696969696969697,0.030303030303030304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9696969696969697,0.030303030303030304,0.0,0.0
C1698,65.0,460.0,2,1.0,0.0,3.0,155.0,460.0,12752139.130434783,160621.04347826086,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.991304347826087,0.008695652173913044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.991304347826087,0.008695652173913044,0.0,0.0
