구분,죄종,발생검거,건수
송파,"강간,추행",검거,235
송파,절도,발생,2429
송파,절도,검거,1006
송파,폭력,발생,2675
송파,폭력,검거,2280
노원,살인,발생,4
노원,살인,검거,3
노원,강도,발생,3
노원,강도,검거,3
노원,"강간,추행",발생,169
노원,"강간,추행",검거,148
노원,절도,발생,1404
노원,절도,검거,646
노원,폭력,발생,2163
노원,폭력,검거,1781
방배,살인,발생,1
방배,살인,검거,1
방배,강도,발생,1
방배,강도,검거,1
방배,강간,발생,63
방배,강간,검거,50
방배,절도,발생,348
방배,절도,검거,159
방배,폭력,발생,423
방배,폭력,검거,365
은평,살인,발생,1
은평,살인,검거,1
은평,강도,발생,1
은평,강도,검거,1
은평,"강간,추행",발생,95
은평,"강간,추행",검거,74
은평,절도,발생,839
은평,절도,검거,434
은평,폭력,발생,1092
은평,폭력,검거,956
도봉,살인,발생,0
도봉,살인,검거,0
도봉,강도,발생,2
도봉,강도,검거,2
도봉,강간,발생,82
도봉,강간,검거,87
도봉,절도,발생,861
도봉,절도,검거,379
도봉,폭력,발생,1234
도봉,폭력,검거,1022
수서,살인,발생,1
수서,살인,검거,2
수서,강도,발생,2
수서,강도,검거,1
수서,"강간,추행",발생,195
수서,"강간,추행",검거,194
수서,절도,발생,1010
수서,절도,검거,475
수서,폭력,발생,1394
수서,폭력,검거,1200
